Key,English,Simplified Chinese,Traditional Chinese
shipattribute_battlewinretreat,Battle/Win/Retreat :,战斗/胜利/撤退：,戰鬥/勝利/撤退：
shipattribute_killcapsize,Kill/Capsize :,击杀/坠毁：,擊殺/墜毀：
shiproster_meetthe,MEET THE,搭乘,搭乘
shiproster_roster,Roster,名册,名冊
pvp_setup_create,CREATE,创建,創建
pvp_setup_customize,CUSTOMIZE,自定义,自定義
pvp_setup_gamemode,GAME MODE,游戏模式,遊戲模式
pvp_setup_classic,classic,经典,經典
pvp_setup_versus,versus,对抗,對抗
generic_comingsoon,coming soon,即将更新,即將更新
pvp_setup_deathmatch,DEATH MATCH,死亡竞赛,死亡競賽
pvp_setup_creatematch,CREATE MATCH,创建房间,創建房間
pvp_lobby_activeskill,ACTIVE SKILL,主动技能,主動技能
pvp_lobby_matchlobby,MATCH LOBBY,匹配大厅,匹配大廳
pvp_lobby_roomcode,MATCH CODE,房间号,房間號
pvp_lobby_matchinformation,MATCH INFORMATION,匹配信息,匹配資訊
pvp_lobby_playeramount,player amount,玩家数量,玩家數量
pvp_lobby_maximumshipplayer,MAXIMUM SHIP / player,舰船/玩家最大数量,艦船/玩家最大數量
pvp_lobby_maxshipcost,maximum ship cost,舰船最大成本,艦船最大成本
pvp_lobby_offlineonlinemode,offline / online mode,离线/在线模式,離線/線上模式
pvp_lobby_online,online,联机,聯機
pvp_lobby_battleground,BATTLE GROUND,战场,戰場
button_changegamemode,CHANGE GAME MODE,更改游戏模式,更改遊戲模式
pvp_lobby_blueteam,blue team,蓝方,藍方
pvp_lobby_redteam,red team,红方,紅方
button_join,JOIN,加入,加入
pvp_lobby_escort,escort,护卫舰,護衛艦
button_ready,READY,准备就绪,準備就緒
pvp_lobby_availableslot,AVAILABLE SLOT,可选位置,可選位置
pvp_lobby_selecting,Selecting...,选择中……,選擇中……
pvp_lobby_matchstartin,MATCH STARTS IN,预计匹配时间,預計匹配時間
button_leaveteam,LEAVE TEAM,离开队伍,離開隊伍
button_kick,KICK,踢出,踢出
pvp_lobby_noofship,NO. OF SHIP,舰船数量,艦船數量
pvp_lobby_obstruction,OBSTRUCTION,障碍物,障礙物
pvp_lobby_round,ROUND,回合,回合
pvp_lobby_passiveskill,PASSIVE SKILL,被动技能,被動技能
pvp_lobby_maximumcost,MAXIMUM COST,最大成本,最大成本
pvp_lobby_enteramatchcode,Enter a match code,输入匹配号,輸入匹配號
pvp_lobby_loadoutmanager,LOADOUT MANAGEMENT,装载管理,裝載管理
pvp_lobby_select,SELECT,选择,選擇
pvp_combat_yourshiphasbeen,YOUR SHIP HAS BEEN,您的舰船已经,您的艦船已經
pvp_combat_disabled,DISABLED,残损,殘損
pvp_conclude_statistic,STATISTIC,统计,統計
pvp_conclude_totaldamage,TOTAL DAMAGE,总伤害,總傷害
pvp_conclude_topdamage,TOP DAMAGE,最高伤害,最高傷害
pvp_conclude_damagetaken,DAMAGE TAKEN,遭受伤害,遭受傷害
pvp_conclude_total,Total,总计,總計
pvp_conclude_playagain,PLAY AGAIN,重新开始,重新開始
pvp_combat_matchstartincolon,MATCH STARTS IN :,预计匹配时间：,預計匹配時間：
pvp_combat_hp,INTEGRITY,生命值,生命值
pvp_combat_engaged,ENGAGED,交战,交戰
pvp_combat_defeatallenemies,Defeat all enemies,击败所有敌人,擊敗所有敵人
menu_pressanykey,Press Any Key,按任意键,按任意鍵
intro_pressesctoskip,Press ESC to skip...,按ESC跳过,按ESC跳過
officer_skill,Skill,技能,技能
officer_lv,Lv.,Lv.,Lv.
officer_traits,Traits,特性,特性
officer_tactics,Tactics,战术,戰術
menu_startingamewarning,Starting a new game will overwrite the latest Autosave file.,开始新游戏将自动覆盖自动保存的最新存档。,開始新遊戲將自動覆蓋自動保存的最新存檔。
menu_wouldyouliketocontinue,Would you like to continue?,是否继续？,是否繼續？
option_game_name,Airship: Kingdoms Adrift,飞空艇时代：贸易帝国,飛空艇時代：貿易帝國
option_company_name,"Revolution Industry Co,Ltd. 2020","Revolution Industry Co,Ltd. 2020","Revolution Industry Co,Ltd. 2020"
option_game,Game,游戏,遊戲
option_howtoplay,How to Play,游戏玩法,遊戲玩法
option_savegame,Save Game,保存游戏,保存遊戲
option_quit_exittomainmenu,Exit To Main Menu,返回主菜单,返回主菜單
option_quit_quittodesktop,Quit To Desktop,返回桌面,返回桌面
option_reportabug,Report a bug,反馈错误,回饋錯誤
option_joinusondiscord,Join us on Discord,加入QQ社区,加入QQ社區
officer_careerprogress,Career Progress,职业发展,職業發展
officer_passiveskills,Passive Skills,被动技能,被動技能
officer_activeskills,Active Skills,主动技能,主動技能
officer_rank,Rank,等级,等級
officer_status,Status,状态,狀態
officer_profile,Profile,简介,簡介
officer_bio,BIO,个人履历,個人履歷
officer_career,Career,职业,職業
officer_promote,Promote,升级,升級
officer_levelcolon,Level:,级别：,級別：
officer_expcolon,| EXP:,| 经验：,| 經驗：
officer_officercolon,| Officer:,| 军官：,| 軍官：
officer_nextlevel,NEXT LEVEL,下一级,下一級
shiproster_overview,OVERVIEW,概述,概述
shiproster_history,HISTORY,历史记录,歷史記錄
shiproster_generalspecification,GENERAL SPECIFICATION,通用标准,通用標準
shiproster_servicerecord,SERVICE RECORD,服务记录,服務記錄
shiproster_layout,Layout,布局,佈局
shiproster_persec,/s,/秒,/秒
generic_pressesctoclose,Press <b>[ESC]</b> or <b>[Click]</b> anywhere outside to close,按<b>[ESC]</b> 或 <b>[点击]</b>画面外的任意地方以关闭,按<b>[ESC]</b> 或 <b>[點擊]</b>畫面外的任意地方以關閉
howto_subject_introductionheader,Introduction (2),简介 (2),簡介 (2)
howto_subject_welcometoairshipkingdomsadrift,Welcome to Airship: Kingdoms Adrift,欢迎体验《飞空艇时代：贸易帝国》,歡迎體驗《飛空艇時代：貿易帝國》
howto_subject_shipyardheader,Shipyard (3),舰船定制 (3),艦船定制 (3)
howto_subject_airshipcustomization,Airship customization,飞艇定制,飛艇定制
howto_subject_airshipparameter,Airship parameters,飞艇参数,飛艇參數
howto_subject_firecontrolpalette,Fire control palette,武器模块,武器模組
howto_subject_hangarheader,Hangar (2),舰船库 (2),艦船庫 (2)
howto_subject_manageyourfleets,Manage your fleets,管理您的舰队,管理您的艦隊
howto_subject_cargowarehouseheader,Cargo & Warehouse (1),货舱&仓库 (1),貨艙&倉庫 (1)
howto_subject_manageyouritem,Manage your item,管理您的物品,管理您的物品
howto_subject_officerandquestheader,Officer and Quest (1),军官与任务 (1),軍官與任務 (1)
howto_subject_manageyourofficers,Manage your officers,管理您的军官,管理您的軍官
howto_subject_traversalheader,Travelling (5),航行 (5),航行 (5)
howto_subject_basicmovementcontrol,Basic movements,基础移动控制,基礎移動控制
howto_subject_travelmode,Travel mode,旅行模式,旅行模式
howto_subject_interactablesencounters,Interactables & encounters,互动&遭遇事件,互動&遭遇事件
howto_subject_encountertypes,Encounter types,遭遇事件类型,遭遇事件類型
howto_subject_navigationheader,Navigation (1),导航 (1),導航 (1)
howto_subject_manageyourvoyage,Manage your voyage,导航图,導航圖
howto_subject_battleheader,Battle (5),战斗 (5),戰鬥 (5)
howto_subject_firingconverage,Firing coverage,攻击范围,攻擊範圍
howto_subject_officertactic,Officer tactics,军官战术,軍官戰術
howto_subject_closequarterscombat,Close quarters combat,近距离作战,近距離作戰
howto_subject_surrendercapsizing,Surrender & capsizing,投降&坠毁,投降&墜毀
howto_welcometoairship,"You have just received your first order. <style=""gold"">Jean</style> and <style=""gold"">Agatha</style> would expect that you perform it right away. There are things you need to get accustomed to in Airship: Kingdoms Adrift. We believe you are up to the task. Your career in the Segson Archipelago depends on your ability to do what you were asked to do and make your fortune while you're at it. Destiny has its way of lifting you up and bringing you down. Whenever life gives you lemons, make lemonade. You have always succeeded, through the long Great War and the years that followed. Build your wealth, gain influence, make the best out of every moment, and realize your dream—whatever that may be.","您刚刚收到第一份订单，<style=""gold"">吉恩</style>和<style=""gold"">阿加莎</style>希望能尽快完成。在《飞空艇时代：贸易帝国》中，您需要去学习和习惯一些事情，我们相信您可以胜任。您在萨斯赛克群岛的职业生涯决定于您是否有能力完成其他人的任务，当然，您也会在这过程中收获财富。命运会以它的方式给予你试炼，任何事情都有其两面性，完全取决于您的角度和处理方式。在漫长的大战中，以及那之后的一年里，您一直努力不懈，颇有建树。未来更是如此，您将积累财富，闻名世界。无论您的梦想是什么，请充分利用每一次机会，持之以恒，终有圆梦一日。","您剛剛收到第一份訂單，<style=""gold"">吉恩</style>和<style=""gold"">阿加莎</style>希望能儘快完成。在《飛空艇時代：貿易帝國》中，您需要去學習和習慣一些事情，我們相信您可以勝任。您在薩斯賽克群島的職業生涯決定於您是否有能力完成其他人的任務，當然，您也會在這過程中收穫財富。命運會以它的方式給予你試煉，任何事情都有其兩面性，完全取決於您的角度和處理方式。在漫長的大戰中，以及那之後的一年裏，您一直努力不懈，頗有建樹。未來更是如此，您將積累財富，聞名世界。無論您的夢想是什麼，請充分利用每一次機會，持之以恆，終有圓夢一日。"
howto_instruction_head,Instruction,基础说明,基礎說明
howto_instruction1,"You can listen to <style=""gold"">Jean, your shipmaster</style> regarding your mission information and its objective by clicking on his portrait. While following Jean's recommendations can enhance your career and maintain everyone's happiness, it's also acceptable to occasionally pursue your own path. However, keep in mind that Jean's guidance often opens doors to benefits you may not attain independently. Therefore, prioritize wisely.","您可以通过点击头像，听取<style=""gold"">吉恩，您的船长</style> 对于目前任务进程及目标的观点。按照他的建议行事，不仅对您的职业发展有好处，还可以令多方满意，从而获得更多影响力。或许他还可以给您一些关于任务优先级的提议，着眼于现在的目标，还是转变方向曲线救国，供您决定。除此之外，吉恩提供的方向可能使您收获一笔意外之财，因此请明智地优先采纳他的建议。","您可以通過點擊頭像，聽取<style=""gold"">吉恩，您的船長</style> 對於目前任務進程及目標的觀點。按照他的建議行事，不僅對您的職業發展有好處，還可以令多方滿意，從而獲得更多影響力。或許他還可以給您一些關於任務優先順序的提議，著眼於現在的目標，還是轉變方向曲線救國，供您決定。除此之外，吉恩提供的方向可能使您收穫一筆意外之財，因此請明智地優先採納他的建議。"
howto_facilities_head,FACILITIES,港口设施,港口設施
